अँगड़ाई,आँकड़ा,इंका,ईंट,उँगली,ऊँचा,ऋग्वेद,एंजियोग्राफी,ऐंठ,ऑकलैंड,ओंठ,औंधा,कँपकँपी,खंगालना,गँवई,घंटा,चँवर,छँटाई,जँभाई,झंकार,टंकण,डंक,ढँकना,तंग,थंडर,दंग,धँसना,नंगा,पंक,फँसना,बँगला,भँवर,मँगनी,यंत्र,रंक,लँगड़ा,वंचित,श,षडयंत्र,सँकरा,ह,क़द,ख़त,ग़म,ज़ख्म,फ़र्श
अँगरेजी,आँकड़े,इंकार,ईंधन,उँचाई,ऊँचाइयाँ,ऋण,एंजियोप्लास्टी,ऐंठन,ऑक्टोपस,ओछा,औंस,कँवल,खंजन,गँवाना,घंटाघर,चंग,छंटनी,जंक्शन,झंझट,टंकार,डंका,ढंकना,तंग करना,थकना,दंगल,धँसा,नंगी,पंकज,फँसा,बँटना,भँवरा,मँगाना,यंत्रण,रंग,लंका,वंदन,शंका,षड्यंत्र,सँभालना,हँसना,क़दम,ख़बर,ग़रीब,ज़बान,फ़ायदा
अँगीठी,आँकना,इंगलैंड,ईकाई,उंगली,ऊँचाई,ऋणात्मक,एंटनी,ऐंठना,ऑक्सफोर्ड,ओज,औकात,कंकड़,खंजर,गँवार,घंटी,चंगा,छंटाई,जंग,झंझावात,टंकी,डंठल,ढंग,तंगहाल,थका,दंगा,धंधा,नंदन,पंक्ति,फँसाना,बँटवारा,भंग,मँगेतर,यंत्रणा,रंगढंग,लंकाशायर,वंदनीय,शंकालु,षड्यंत्रकारी,सँवरना,हँसमुख,क़रीब,ख़याल,ग़लत,ज़मीन,फ़िदा
अँगूठा,आँकड़ा,इंगित,ईख,उंचाई,ऊँची,ऋणी,एंटिना,ऐंबुलेंस,ऑक्साइड,ओजपूर्ण,औचक,कंकण,खंड,गंज,घंटे,चंगुल,छंद,जंगम,झंडा,टंग,डंड,ढकना,तंगहाली,थकाऊ,दंगाई,धकेलना,नंबर,पंक्तिबद्ध,फंदा,बँधना,भंगिमा,मँहगा,यक़ीन,रंगत,लंगड़ा,वंश,शंकित,षष्ठी,सँवारना,हँसिया,क़ीमत,ख़राब,ग़ुलाम,ज़मीर,फ़िलहाल
अँगूठी,आँख,इंग्लैंड,ईजाद,उकसा,ऊँट,ऋतु,एंटीगुआ,ऐक्टर,ऑटोमैटिक,ओजस्वी,औचित्य,कंकर,खंडन,गंजा,घट,चंचल,छंदबद्ध,जंगल,झंडी,टक,डंडा,ढका,तंगी,थकान,दंगे,धक्का,नई,पंक्तियां,फंसना,बँधा,भंगी,मंगता,यक़ीनन,रंगना,लंगर,वंशज,शंकु,ष्,सं,हँसी,,ख़रीद,,ज़री,फ़िल्म
अँग्रेज़,आँगन,इंच,ईडन,उकसाना,ऊँटनी,ऋषभ,एंडरसन,ऐक्सेस,ऑनर्स,ओज़ोन,औज़ार,कंकरीट,खंडहर,गंजापन,घटक,चंचलता,छः,जंगला,झक,टकटकी,डंडी,ढकेल,तंज़ानिया,थकाना,दंड,धड़,नकचढ़ा,पंख,फंसाना,बँधुआ,भंगुर,मंगनी,यकायक,रंगबिरंगा,लंगूर,वंशागत,शंख,,संकट,हंगरी,,ख़ामोश,,ज़रूरी,फ़ोन
अँग्रेज़ी,आँचल,इंजन,ईथर,उकेरना,ऊंचा,ऋषि,एंड्रयू,ऐच्छिक,ऑनलाइन,ओझल,औजार,कंकाल,खंडित,गंजी,घटता,चंड,छक्का,जंगली,झकझोर,टकराना,डंप,ढकेलना,तंजानिया,थकावट,दंडनीय,धड़क,नकचढ़ी,पंखा,फकीर,बंक,भंजन,मंगल,यकीन,रंगभूमि,लंगोट,वंशानुगत,शंघाई,,संकटकाल,हंगल,,ख़ास,,ज़ार,
अँधेरा,आँटी,इंजीनियर,ईद,उकेरी,ऊंचाई,,एंथनी,ऐट,ऑपरेटर,ओझा,औदार्य,कंक्रीट,खंदक,गंड,घटती,चंडी,छगन,जंगलीपन,झकझोरा,टकराव,डंपर,ढकोसला,तंतु,थकित,दंडात्मक,धड़कन,नकद,पंखुड़ी,फट,बंकर,भंडाफोड़,मंगलगान,यकृत,रंगभेद,लंगोटी,वंशावली,शऊर,,संकटकालीन,हंगामा,,ख़ुद,,ज़ालिम,
अँधेरी,आँत,इंजीनियरी,ईमान,उक्त,ऊंचे,,एएन,ऐडम,ऑपरेशन,ओट,औद्योगिक,कंकड़,खंभा,गंडा,घटना,चंदन,छछूंदर,जंगी,झक्की,टकसाल,डक,ढक्कन,तंत्र,थक्का,दंडादेश,धड़कना,नकदी,पंखुड़ी,फटकना,बंगला,भंडार,मंगलमय,यक्ष,रंगमंच,लंघन,वंशी,शक,,संकटग्रस्त,हंगेरियन,,ख़ुदा,,ज़िक्र,
अंक,आँतें,इंजीनीयरिंग,ईमानदार,उक्ति,ऊंट,,एक,ऐतबार,ऑफ,ओटमील,औद्योगीकरण,कंगन,खग,गंतव्य,घटनाक्रम,चंदा,छज्जा,जंघा,झगड़ना,टकसाली,डकार,ढब,तंत्रिका,थन,दंडाधिकारी,धड़कने,नकल,पंगत,फटका,बंगलादेश,भंडारण,मंगलवार,यजमान,रंगमहल,लंच,वंशीय,शकर,,संकटपूर्ण,हंस,,ख़ुश,,ज़िम्मेदारी,
अंकगणित,आँधी,इंजेक्शन,ईमानदारी,उखाड़ना,ऊटपटांग,,एक प्रकार की मछली,ऐतिहासिक,ऑफर,ओटावा,औपचारिक,कंगारू,खगोलज्ञ,गंदगी,घटनाचक्र,चंदे,छटनी,जंजाल,झगड़ा,टक्कर,डकैत,ढर्रा,तंदरुस्त,थपकी,दंडित,धड़ा,नकलची,पंगु,फटकार,बंगलादेशी,भंडारी,मंगलसूचक,यजुर्वेद,रंगरूट,लंडन,वक़ालत,शकरकंद,,संकटमय,हंसना,,ख़ुशी,,ज़ुल्म,
अंकटाड,आँव,इंटर,ईमेल,उखाड़,ऊतक,,एकजुट,ऐतिहासिकता,ऑफिस,ओटो,औपचारिकता,कंगाल,खगोलशास्त्र,गंदला,घटनास्थल,चंद्र,छटपटाहट,जंजीर,झगड़ालू,टखना,डकैती,ढल,तंदुरुस्त,थपथपाना,दंत,धड़ाका,नकली,पंच,फटकारना,बंगाल,भंवर,मंगलाचरण,यज्ञ,रंगरूप,लंदन,वक़्त,शकल,,संकर,हंसमुख,,ख़ूब,,ज़ुल्फ़,
अंकन,आँसू,इंटरनेट,ईराक,उखाड़ना,ऊधम,,एकजुटता,ऐनक,ऑफिसर,ओडिसी,औपचारिकताएँ,कंगाली,खगोलशास्त्री,गंदा,घटा,चंद्रमा,छटा,जंड,झगड़ना,टटोलकर,डग,ढलना,तंदुरुस्ती,थप्पड़,दंपति,धड़ाधड़,नकसीर,पंचक,फटना,बंगाली,भक्त,मंगलाचार,यति,रंगरेज,लंपट,वकालत,शकुन,,संकरण,हंसाना,,ख़ूबसूरत,,ज़ोर,
अंकारा,आंकड़ा,इंटरपोल,ईरान,उगना,ऊन,,एकटक,ऐब,ऑमलेट,ओढ़ना,औपनिवेशिक,कंघा,खगोलीय,गंदी,घटाटोप,चंद्रिका,छठवाँ,जंतर,झगड़ा,टटोलना,डगमगाता,ढलाई,तंदूर,थप्पड़,दंपती,धतूरा,नक़द,पंचम,फटा,बंजर,भक्तगण,मंगवाना,यती,रंगरेलियां,लंब,वकील,शक्क,,संकरा,हंसिनी,,ख़्याल,,ज़ोरदार,
अंकित,आंकड़े,इंटरव्यू,ईरानी,उगलना,ऊनी,,एकड़,ऐबी,ऑर्किड,ओढ़नी,औपन्यासिक,कंघी,खग्रास,गंध,घटाना,चंपा,छठवां,जंतु,झगड़ालू,टट्टी,डगमगाना,ढलान,तंदूरी,थम,दंभ,धधक,नक़दी,पंचमी,फटाफट,बंजारा,भक्ति,मंगाना,यतीम,रंगशाला,लंबा,वक्त,शक्कर,,संकर्षण,हंसिया,,ख़्वाब,,ज़्यादा,
अंकुर,आंकना,इंडियाना,ईर्षा,उगाई,ऊपर,,एकतरफ़ा,ऐब्स,ऑर्केस्ट्रा,ओतप्रोत,और,कंचुकी,खचाखच,गंधक,घटाव,चक,छठा,जई,झट,टट्टू,डगर,ढलाव,तंद्रा,थमाना,दंभी,धधकते,नक़ल,पंचमेल,फटीचर,बंजारे,भक्तिन,मंगेतर,यत्न,रंगसाज़,लंबाई,वक्तव्य,शक्की,,संकलन,हंसी,,,,ज़्यादातर,
अंकुरण,आंकलन,इंडोनेशियन,ईर्ष्य,उगाना,ऊपरवाला,,एकतरफा,ऐयाशी,ऑर्गन,ओदा,औरत,कंचे,खच्चर,गंधर्व,घटित,चकनाचूर,छठे,जकड़,झटक,टन,डग्गा,ढहना,तंबाकू,थरथराना,दंश,धन,नक़ली,पंचर,फटेहाल,बंटना,भक्तिपूर्ण,मंगोल,यथा,रंगहीन,लंबित,वक्ता,शक्ति,,संकलित,हंसी उड़ाना,,,,,
अंकुरित,आंकड़ा,इंडोनेशिया,ईर्ष्या,उगाहना,ऊपरी,,एकता,ऐलन,ऑल,ओपेरा,औलाद,कंजर,खज़ाना,गंधहीन,घटिया,चकबंदी,छड़,जकड़न,झटकना,टनेल,डच,ढहा,तंबू,थरथराहट,दकियानूसी,धनकुबेर,नक़ाब,पंचांग,फट्टी,बंटवारा,भक्तिपूर्वक,मंगोलियन,यथाक्रम,रंगाई,लकड़बग्घा,वक्तृत्व,शक्तिमान,,संकल्प,हक,,,,,
अंकुश,आंख,इंडोनेशियाई,ईर्ष्यालु,उगाही,ऊब,,एकत्र,ऐलान,ऑव,ओम,औषध,कंजूस,खजांची,गंधी,घटी,चकमक,छड़ी,जकड़ना,झटका,टप,डचेस,ढाँचा,तंबोला,थर्मल,दक्खिनी,धनराशि,नक़्शा,पंचाग,फड़क,बंडल,भक्तिमय,मंगोलिया,यथायोग्य,रंगारंग,लकड़हारा,वक्र,शक्तिवर्द्धक,,संकल्पना,हकदार,,,,,
अंग,आंखें,इंतज़ाम,ईशान,उग्र,ऊबड़,,एकत्र करना,ऐश,ऑस्कर,ओमा,औषधालय,कंजूसी,खजाना,गंभीर,घड़ा,चकमा,छत,जकार्ता,झटपट,टपक,डटकर,ढांचा,तक,थर्मस,दक्ष,धनवान,नकाब,पंचाट,फड़फड़ाना,बंडा,भक्षक,मंच,यथार्थ,रंगी,लकड़ी,वक्रता,शक्तिवर्धक,,संकल्पित,हकला,,,,,
अंगरक्षक,आंगन,इंतज़ार,ईश्वर,उग्रता,ऊर्ज,,एकत्रित,ऐश्वर्य,ऑस्टिन,ओमान,औषधि,कंटक,खजूर,गंभीरता,घड़ियाल,चकरी,छतरी,जकड़,झड़,टपकना,डपट,ढाई,तकदीर,थर्मामीटर,दक्षता,धना,नकार,पंचायत,फण,बंडी,भक्षण,मंचन,यथार्थता,रंगीन,लकर,वक्रोक्ति,शक्तिशाली,,संकाय,हकलाना,,,,,
अंगरेज़ी,आंग्ल,इंतजाम,ईश्वरवाद,उग्रवाद,ऊर्जा,,एकत्रीकरण,ऐसा,ऑस्ट्रिया,ओमेगा,औषधी,कंट्रोल,खटका,गंभीरतापूर्वक,घड़ियाली,चकला,छत्ता,जकड़ना,झड़ना,टपका,डपटना,ढाक,तकनीक,थल,दक्षि,धनाढ्य,नकारना,पंचायती,फतवा,बंद,भक्ष्य,मंचीय,यथार्थवाद,रंगीला,लकवा,वग़ैरह,शक्तिहीन,,संकीर्ण,हकलाहट,,,,,
अंगार,आंच,इंतिख़ाब,ईश्वरीय,उग्रवादी,ऊर्ध्व,,एकदम,ऐसिड,ऑस्ट्रियाई,ओर,औषधीय,कंट्रोलर,खटखटाना,गंवाना,घड़ी,चकवा,छत्तीस,जख्म,झड़प,टपकाना,डफली,ढाका,तकनीकी,था,दक्षिण,धनात्मक,नकारात्मक,पंछी,फतह,बंदगी,भग,मंजन,यथार्थवादी,रंगीली,लकीर,वगैरह,शक्य,,संकीर्णता,हक़,,,,,
अंगारक,आंचल,इंतिज़ाम,ईसबगोल,उचक्का,ऊर्ध्वगामी,,एकदलीय,ऐसे,ऑस्ट्रेलिया,ओरल,औसत,कंठ,खटपट,गंवार,घडी,चकाचक,छत्तीसवाँ,जख्मी,झड़ी,टफ़ी,डब,ढाढ़स,तकनीशियन,थांग,दक्षिणपंथी,धनिया,नकारात्मकता,पंजा,फफूँद,बंदगोभी,भगत,मंजरी,यथावत,रंगून,लकीरें,वचन,शक्ल,,संकीर्तन,हक़ीक़त,,,,,
अंगारा,आंचलिक,इंतिज़ार,ईसवी,उचाट,ऊषा,,एकदिवसीय,ऐस्पिरिन,ऑस्ट्रेलियाई,ओरलैंडो,औसतन,कंठी,खटमल,गगन,घण्टा,चकाचौंध,छत्र,जग,झण्डी,टब,डबरा,ढाना,तकरार,थाइलैंड,दक्षिणा,धनी,नकारी,पंजाब,फफूंद,बंदनवार,भगदड़,मंज़िल,यथाविधि,रंज,लक्कड़,वचनबद्ध,शख़्स,,संकुचन,हक़ीक़ी,,,,,
अंगिया,आंटी,इंद्र,ईसा,उचित,ऊष्ण,,एकनिष्ठ,,,ओरायन,,कंडक्टर,खटाई,गगनचुंबी,घन,चकित,छद्म,जगत,झण्डे,टमाटर,डबल,ढाबा,तकरीबन,थाई,दक्षिणी,धनु,नकुल,पंजाबी,फबना,बंदर,भगदड़,मंजिल,यथाशीघ्र,रंजन,लक्ष,वचनबद्धता,शख़्सियत,,संकुचित,हकीकत,,,,,
